# English GML string literal (escaped)\tKorean GML string literal (escaped)
Harp	하프
Open	열기
Open Folder	폴더 열기
Open file	파일 열기
Download complete!	다운로드 완료!
Downloading song...	곡 다운로드 중...
The song could not be downloaded! Please try again with a different song.	곡을 다운로드하지 못했습니다! 다른 곡으로 다시 시도하세요.
The file could not be downloaded! Please try again.	파일을 다운로드하지 못했습니다! 다시 시도하세요.
Couldn't verify if the file you're trying to open is a valid song!	올바른 곡 파일인지 확인하지 못했습니다!
This file doesn't look like a valid song!	올바른 곡 파일이 아닌 것 같습니다!
This file is too large to be opened via a URL! Please try downloading and manually opening the song.	URL로 열기에는 파일이 너무 큽니다! 다운로드한 뒤 직접 열어 주세요.
An error occurred.	오류가 발생했습니다.
Auto-recovery	자동 복구
Note Block Studio quit unexpectedly while you were working on a song. Do you want to recover your work?\n\n(If you click 'No', you'll be prompted to recover it again the next time you open the program.)	작업 중 Note Block Studio가 예기치 않게 종료되었습니다. 작업을 복구할까요?\n\n('아니요'를 선택하면 다음에 프로그램을 열 때 다시 묻습니다.)
Minecraft Note Block Studio quit unexpectedly while you were working on a song. Do you want to recover your work?	작업 중 Note Block Studio가 예기치 않게 종료되었습니다. 작업을 복구할까요?
Minecraft Note Block Studio detected you closed the window without saving the song in the last session. Do you want to recover your work?	지난 실행에서 곡을 저장하지 않고 창을 닫았습니다. 작업을 복구할까요?
Note Block Studio detected that the window scale has been set to 0. It has been reverted to default.\nYou may need to restart Note Block Studio for a smooth experience.	창 배율이 0으로 설정되어 기본값으로 복원했습니다.\n정상적으로 사용하려면 프로그램을 다시 시작해야 할 수 있습니다.
Note Block Studio encountered an error creating the background sprite. Transparency effects will be disabled.\nThis usually happens when your desktop wallpaper is either too tall or too long.	배경 이미지를 생성하지 못해 투명 효과를 끕니다.\n바탕 화면 이미지가 너무 길거나 높으면 발생할 수 있습니다.
Program folder redirected	프로그램 폴더 경로 변경
GameMaker redirects all file access in Note Block Studio's program folder to its user-data folder. The selected file will therefore be loaded from or saved to this folder instead:\n\n	GameMaker는 프로그램 폴더의 파일 접근을 사용자 데이터 폴더로 전환합니다. 선택한 파일은 다음 폴더에서 불러오거나 저장합니다:\n\n
\n\nTo access the file you intended, choose a location outside Note Block Studio's program folder.	\n\n원하는 파일에 접근하려면 프로그램 폴더 외부의 위치를 선택하세요.
The \"Open in NBS\" function currently only works in player mode. Please close this instance and try again.	\"Open in NBS\" 기능은 현재 플레이어 모드에서만 작동합니다. 이 창을 닫고 다시 시도하세요.
Development versions are experimental and may be unstable. To avoid data corruption, it's highly recommended that you install Note Block Studio to a separate directory before enabling this option.\n\nProceed?	개발 버전은 실험적이며 불안정할 수 있습니다. 데이터 손상을 방지하려면 별도 폴더에 설치한 뒤 이 옵션을 사용하는 것을 권장합니다.\n\n계속할까요?
You're currently running a development version of Note Block Studio. By disabling this option, you will be prompted to downgrade to the latest stable version the next time you open the program.\n\nProceed?	현재 개발 버전을 사용 중입니다. 이 옵션을 끄면 다음 실행 시 최신 안정 버전으로 변경할지 묻습니다.\n\n계속할까요?
Installation was canceled. Do you want to open the Note Block Studio website and update manually?	설치를 취소했습니다. 웹사이트를 열어 직접 업데이트할까요?
Failed to start update installer	업데이트 설치 프로그램 실행 실패
Failed to start the update installer (Windows error 	업데이트 설치 프로그램을 실행하지 못했습니다 (Windows 오류 
). Do you want to open the Note Block Studio website and update manually?	). 웹사이트를 열어 직접 업데이트할까요?
Click to open our Open Collective\n page in your browser!	클릭하여 브라우저에서\nOpen Collective 후원 페이지를 여세요!
Developing Note Block Studio takes a lot of unpaid volunteering time. If you can, please consider supporting us in the future! =)\n\n(You can find that option at any time in Help > Donate.)	Note Block Studio는 많은 자원봉사 시간을 들여 개발합니다. 가능하다면 개발을 후원해 주세요! =)\n\n(도움말 > 후원에서 언제든 참여할 수 있습니다.)
Changelist (You're running from the IDE!)	변경 내역 (IDE에서 실행 중입니다!)
Changelist not found!	변경 내역을 찾을 수 없습니다!
(Development version)	(개발 버전)
Part 1: Composing note block music	1부: 소리 블록 음악 작곡
Part 2: Opening MIDI files	2부: MIDI 파일 열기
Part 3: Importing songs into Minecraft	3부: 마인크래프트에 곡 가져오기
Part 4: Editing songs made in Minecraft	4부: 마인크래프트에서 만든 곡 편집
Original created by David Andrei	원작 제작: David Andrei
Originally created by 	원작 제작: 
Created by 	제작: 
Player Mode	플레이어 모드
 - Player Mode	 - 플레이어 모드
Playing	재생 중
Editing 	편집 중: 
Listening to 	듣는 중: 
Click anywhere to dismiss	아무 곳이나 클릭하여 닫기
The following file(s) could not be found:	다음 파일을 찾을 수 없습니다:
The following file(s) could not be found:\n\n	다음 파일을 찾을 수 없습니다:\n\n
Some sounds might not play.	일부 소리가 재생되지 않을 수 있습니다.
\n\nSome sounds might not play.	\n\n일부 소리가 재생되지 않을 수 있습니다.
The indicated folder doesn't exist!	지정한 폴더가 없습니다!
Image Files (*.png, *.jpg, *.jpeg)	이미지 파일 (*.png, *.jpg, *.jpeg)
Note Block Songs (*.nbs)	소리 블록 곡 (*.nbs)
Note Block Pattern (*.nbp)	소리 블록 패턴 (*.nbp)
MIDI Sequences (*.mid)	MIDI 시퀀스 (*.mid)
Minecraft Schematics (*.schematic)	마인크래프트 스키매틱 (*.schematic)
Minecraft Structures (*.nbt)	마인크래프트 구조물 (*.nbt)
ZIP archive (*.zip)	ZIP 압축 파일 (*.zip)
Resource pack (*.zip)	리소스 팩 (*.zip)
Supported sounds (*.ogg;*.wav)	지원하는 소리 (*.ogg;*.wav)
Save Popup	저장 알림
Show Save Popup	저장 알림 표시
Set selected key	선택한 음 높이 설정
Use selected	선택한 값 사용
Select higher	높은 음 선택
Select higher blocks	높은 음의 블록 선택
Select lower	낮은 음 선택
Select lower blocks	낮은 음의 블록 선택
Shift up	위로 이동
Shift down	아래로 이동
Panning: Center	패닝: 중앙
Reset key shortcuts	건반 단축키 초기화
Right-click on keys to change their shortcuts.	건반을 우클릭하여 단축키를 변경하세요.
Tip: Hold Shift while scrolling over a note to change a whole octave,\nor fine-tune its velocity, panning or pitch.	팁: Shift를 누르고 음표 위에서 휠을 굴리면 한 옥타브씩 변경하거나\n세기, 패닝, 미세 음정을 정밀하게 조절합니다.
Ignore	무시
Press	누르기
Whether notes of this type should be\npressed when the marker reaches them.	마커가 도달하면 이 유형의\n음표를 재생합니다.
 second	초
 minute	분
 hour	시간
 day	일
 week	주
 month	개월
 year	년
 ago	 전
 instrument	개 악기
 was	를
s were	를
 saved!	 저장했습니다!
 (selected)	 (선택됨)
Unknown	알 수 없음
Status: 	상태: 
Length	길이
Height	높이
Width	너비
Spawn height:	생성 높이:
NOTE: Please use a VOID world as falling blocks will pile up!	낙하하는 블록이 쌓이므로 공허 월드를 사용하세요!
Time precision	시간 정밀도
Minecraft version	마인크래프트 버전
Note blocks	소리 블록
Instruments loaded	악기를 불러왔습니다
Pattern	패턴
Blackout mode => OFF	검은 배경 모드 => 꺼짐
Blackout mode => ON	검은 배경 모드 => 켜짐
Rainbow mode => OFF	무지개 모드 => 꺼짐
Rainbow mode => ON	무지개 모드 => 켜짐
Fullscreen => OFF	전체 화면 => 꺼짐
Fullscreen => ON	전체 화면 => 켜짐
Looping OFF	반복 재생 꺼짐
Looping ON	반복 재생 켜짐
the Minecraft Launcher.	마인크래프트 런처에서 실행해야 합니다.
sounds from that version!	선택한 버전의 소리를 가져옵니다!
versions from Mojang.	Mojang에서 버전별 목록을 받습니다.
If enabled, the song will loop at the	이 옵션을 켜면 곡이
end of playback instead of stopping.	끝나도 멈추지 않고 반복됩니다.
Whether to loop this song back to	재생이 끝나면 곡을
the start at the end of playback.	처음부터 다시 재생합니다.
radius hear the music as well.	음악을 함께 들을 수 있게 합니다.
folder. You can use '/' to add subfolders.	폴더 내 경로입니다. '/'로 하위 폴더를 지정할 수 있습니다.
for playing the song inside the game.	게임에서 곡을 재생할 때 사용합니다.
file has been restored.	개 파일을 복구했습니다.
files have been restored.	개 파일을 복구했습니다.
t/s (T to tap)	t/s (T로 박자 입력)
If you wish to uninstall it from	다음 위치에서 제거하려면
your world, run: 	월드에서 실행하세요: 
and then remove it from the 	그런 다음 다음 폴더에서 삭제하세요: 
'datapacks' folder.	'datapacks' 폴더.
Added the new instruments introduced in Minecraft 26	마인크래프트 26의 새 악기 추가
App Store Version	App Store 버전
Cent shift	센트 이동
Clipboard	클립보드
Disables transparency animations on note block sprites	소리 블록의 투명 애니메이션을 끕니다
Imported from 	가져온 파일: 
Marker	마커
NEW!	새 기능!
Octave	옥타브
Octave 0	옥타브 0
Piano	피아노
Rittai Onkyou	입체 음향
Running from the GameMaker IDE.	GameMaker IDE에서 실행 중입니다.
Secret Clipboard Editor	클립보드 편집기
Songs	곡
Successfully updated!	업데이트를 완료했습니다!
Thank you for upgrading to version 	업데이트해 주셔서 감사합니다! 버전: 
Update checking disabled by user.	사용자가 업데이트 확인을 껐습니다.
Update checking disabled.	업데이트 확인이 꺼져 있습니다.
Updates managed by TestFlight app.	TestFlight 앱에서 업데이트를 관리합니다.
Window	창
original by 	원작: 
 block	개 블록
 placed	 배치 완료
 files (*	 파일 (*
Max framerate => 120 FPS	최대 프레임 속도 => 120 FPS
Max framerate => 144 FPS	최대 프레임 속도 => 144 FPS
Max framerate => 240 FPS	최대 프레임 속도 => 240 FPS
Max framerate => 30 FPS	최대 프레임 속도 => 30 FPS
Max framerate => 60 FPS	최대 프레임 속도 => 60 FPS
